Order_ID,Shipping_Mode,Customer_Segment,Product_Category,Order_Region,Shipping_Distance_km,Processing_Time_days,Shipping_Time_days,Scheduled_Delivery_Days,Order_Value,Previous_Delays,Warehouse_Load_pct,Late_Delivery_Risk
SC001,Standard Class,Consumer,Office Supplies,East,521,2,3,7,1879,4,41,1
SC002,Same Day,Consumer,Technology,South,467,2,1,5,3457,4,83,0
SC003,Same Day,Home Office,Furniture,South,346,4,6,11,2747,1,73,0
SC004,Standard Class,Corporate,Technology,East,724,5,5,10,12155,3,98,1
SC005,Same Day,Consumer,Office Supplies,East,1307,5,6,13,3350,0,35,0
SC006,First Class,Consumer,Technology,South,798,3,8,13,13866,2,50,0
SC007,First Class,Consumer,Office Supplies,East,1457,1,3,6,12146,1,50,0
SC008,Same Day,Corporate,Office Supplies,West,1422,3,1,4,13664,0,70,0
SC009,First Class,Consumer,Technology,East,455,4,7,13,7717,1,63,0
SC010,Second Class,Home Office,Office Supplies,East,1217,4,7,12,3793,1,95,1
SC011,Standard Class,Consumer,Technology,West,1305,2,7,11,1240,3,78,1
SC012,Same Day,Home Office,Furniture,South,1413,1,5,8,5773,0,67,0
SC013,Second Class,Corporate,Technology,East,1045,2,2,6,5089,4,55,0
SC014,First Class,Consumer,Office Supplies,South,1246,3,8,11,2032,2,69,1
SC015,Standard Class,Consumer,Office Supplies,South,195,4,2,8,12747,1,46,0
SC016,Second Class,Corporate,Office Supplies,Central,453,5,4,11,5307,3,77,1
SC017,Same Day,Consumer,Technology,West,151,3,1,6,9275,1,58,0
SC018,Standard Class,Home Office,Office Supplies,South,488,1,1,3,1360,4,60,0
SC019,Same Day,Consumer,Office Supplies,West,1189,5,8,13,13055,3,82,1
SC020,Standard Class,Consumer,Office Supplies,Central,745,4,7,12,14353,0,42,0
SC021,Same Day,Home Office,Furniture,South,529,2,4,8,7550,1,84,0
SC022,First Class,Corporate,Technology,South,927,5,2,7,10884,4,31,0
SC023,Second Class,Consumer,Furniture,Central,1005,2,7,9,2897,3,30,1
SC024,First Class,Corporate,Furniture,Central,1446,5,8,13,3311,2,57,0
SC025,Standard Class,Home Office,Furniture,South,122,5,8,15,14170,4,50,1
SC026,Standard Class,Consumer,Technology,South,1402,2,7,9,14786,4,61,1
SC027,Standard Class,Home Office,Technology,Central,1366,5,6,12,3546,2,60,1
SC028,Same Day,Consumer,Office Supplies,East,956,3,2,5,7708,4,42,0
SC029,Second Class,Home Office,Furniture,West,734,1,4,6,4869,1,86,1
SC030,First Class,Home Office,Office Supplies,South,1387,5,5,12,1897,1,63,0
SC031,Standard Class,Home Office,Office Supplies,West,577,3,4,9,5817,1,63,1
SC032,Same Day,Corporate,Technology,South,1319,4,5,9,258,2,46,0
SC033,Second Class,Home Office,Furniture,Central,1168,1,2,3,14668,1,99,0
SC034,First Class,Home Office,Office Supplies,West,900,2,1,4,6174,0,75,0
SC035,Second Class,Home Office,Technology,East,1166,4,3,7,14365,1,52,0
